payout_batches                     69 refs
financial_approval_log             23 refs
payout_failures                    18 refs
k9000_redemption_reservations      16 refs
shop_orders                        13 refs
payout_batch_items                 13 refs
coupon_issuances                   11 refs
reconciliation_results             10 refs
financial_approval_matrix          10 refs
shop_products                      9 refs
kiosk_coupon_tokens                8 refs
k9000_reconciliation_breaks        8 refs
shop_cart_items                    7 refs
shop_carts                         6 refs
privilege_members                  5 refs
coupon_audit_log                   5 refs
shop_order_items                   4 refs
shop_delivery_addresses            4 refs
coupon_validation_attempts         4 refs
paw_finder_notifications           3 refs
shop_product_variants              2 refs
_petwash_migrations                2 refs
k9000_redeemed_nonces              1 refs
vat_rate_configs                   0 refs
